UID,top_rec
4992,"[{10: 3.769142071873093}, [10, 38, 36, 12, 88, 35, 82, 1, 14, 31]]"
4993,"[{28: 9.687510413002526}, [28, 62, 68, 27, 48, 50, 84, 70, 46, 99]]"
4994,"[{96: 6.29588176183886}, [96, 94, 95, 89, 86, 32, 50, 88, 92, 22]]"
4995,"[{89: 2.7981932991301783}, [89, 97, 84, 90, 93, 76, 28, 96, 95, 72]]"
4996,"[{32: 5.094506653211439}, [32, 50, 27, 93, 76, 97, 72, 31, 88, 11]]"
4997,"[{89: 0.5491782094339477}, [89, 83, 72, 93, 81, 5, 76, 87, 78, 91]]"
4998,"[{89: 1.2598119644519443}, [89, 50, 93, 72, 76, 36, 83, 88, 97, 81]]"
4999,"[{81: 1.5032141369174388}, [81, 89, 88, 46, 29, 21, 31, 53, 60, 72]]"
5000,"[{50: 6.4458459483853305}, [50, 53, 32, 54, 69, 89, 72, 28, 31, 12]]"
5001,"[{69: 5.771632155760674}, [69, 28, 5, 53, 34, 4, 98, 92, 20, 8]]"
5002,"[{32: 5.374102254792783}, [32, 27, 66, 48, 56, 47, 40, 65, 83, 70]]"
5003,"[{14: 3.7830750005346077}, [14, 72, 6, 52, 98, 22, 100, 25, 76, 87]]"
5004,"[{95: 3.8154856765781826}, [95, 96, 94, 86, 91, 88, 10, 63, 23, 97]]"
5005,"[{89: 5.012906425508014}, [89, 49, 78, 72, 73, 93, 76, 77, 80, 88]]"
5006,"[{32: 10.0}, [32, 97, 42, 21, 83, 63, 95, 76, 100, 78]]"
5007,"[{27: 3.672787442852624}, [27, 31, 83, 72, 81, 98, 89, 80, 87, 14]]"
5008,"[{100: 4.828116687407169}, [100, 81, 21, 98, 52, 87, 72, 80, 83, 4]]"
5009,"[{81: 4.3701937277403}, [81, 100, 36, 53, 35, 61, 80, 72, 83, 78]]"
5010,"[{28: 6.258668944479218}, [28, 89, 94, 55, 91, 86, 95, 96, 88, 82]]"
5011,"[{35: 2.16625886660774}, [35, 89, 68, 61, 31, 27, 72, 46, 76, 19]]"
5012,"[{27: 6.345941875049712}, [27, 66, 76, 67, 56, 93, 34, 28, 86, 43]]"
5013,"[{36: 6.940617792682901}, [36, 69, 68, 89, 48, 40, 83, 12, 25, 72]]"
5014,"[{35: 6.667788642828201}, [35, 72, 12, 91, 40, 76, 45, 100, 15, 92]]"
5015,"[{34: 6.514200017714039}, [34, 22, 88, 27, 55, 35, 14, 31, 91, 67]]"
5016,"[{36: 5.609921208226998}, [36, 61, 89, 29, 22, 46, 3, 25, 47, 9]]"
5017,"[{21: 4.29713752476206}, [21, 32, 89, 83, 72, 11, 100, 6, 93, 98]]"
5018,"[{29: 5.440669299060146}, [29, 89, 62, 53, 27, 66, 88, 54, 91, 72]]"
5019,"[{89: -1.070100918053729}, [89, 81, 88, 97, 1, 91, 72, 95, 87, 93]]"
5020,"[{89: 4.761341607681529}, [89, 32, 93, 35, 72, 61, 91, 88, 83, 97]]"
5021,"[{27: 3.9117318382674666}, [27, 89, 29, 62, 31, 65, 72, 76, 68, 93]]"
5022,"[{50: 5.666370091766442}, [50, 29, 69, 89, 46, 91, 96, 21, 72, 93]]"
5023,"[{89: 0.4305741081882657}, [89, 49, 50, 81, 36, 29, 76, 42, 72, 93]]"
5024,"[{89: 1.9432857123069684}, [89, 81, 88, 91, 94, 96, 27, 8, 87, 86]]"
5025,"[{36: 4.071053243275129}, [36, 20, 56, 31, 5, 94, 79, 87, 34, 11]]"
5026,"[{89: 2.3852314787014723}, [89, 36, 32, 62, 68, 35, 72, 76, 46, 81]]"
5027,"[{47: 7.5536186540789725}, [47, 65, 34, 32, 66, 91, 94, 63, 90, 9]]"
5028,"[{10: 5.1466463671576586}, [10, 38, 1, 2, 55, 81, 44, 35, 60, 53]]"
5029,"[{49: 4.927103684136771}, [49, 89, 83, 72, 93, 91, 76, 98, 97, 47]]"
5030,"[{69: 7.266429513266081}, [69, 54, 36, 65, 89, 66, 72, 100, 76, 48]]"
5031,"[{89: 0.3431898063948353}, [89, 10, 97, 94, 36, 84, 68, 18, 78, 28]]"
5032,"[{54: 9.0124127437602}, [54, 61, 36, 49, 27, 42, 26, 25, 89, 65]]"
5033,"[{61: 5.946275829341522}, [61, 50, 72, 69, 93, 100, 80, 48, 56, 98]]"
5034,"[{92: 1.264614797836343}, [92, 94, 18, 19, 97, 75, 90, 31, 20, 25]]"
5035,"[{50: 3.3017639415351536}, [50, 46, 83, 22, 39, 56, 51, 25, 75, 13]]"
5036,"[{60: 4.730022005993639}, [60, 29, 91, 18, 35, 48, 90, 46, 68, 63]]"
5037,"[{89: 7.4924586073176}, [89, 65, 83, 36, 72, 49, 93, 78, 34, 85]]"
5038,"[{50: 4.870053188229191}, [50, 53, 21, 2, 96, 55, 7, 3, 34, 41]]"
5039,"[{89: 5.697266860527484}, [89, 49, 78, 72, 93, 76, 97, 47, 53, 83]]"
5040,"[{29: 8.929387821986314}, [29, 2, 100, 61, 56, 54, 81, 72, 89, 49]]"
5041,"[{100: 5.133851432912482}, [100, 22, 42, 43, 21, 81, 40, 76, 31, 72]]"
5042,"[{36: 4.466901471290918}, [36, 49, 48, 89, 27, 96, 42, 55, 41, 67]]"
5043,"[{89: 4.605795926815367}, [89, 49, 66, 72, 93, 76, 97, 87, 96, 78]]"
5044,"[{89: 3.837332715923822}, [89, 53, 50, 31, 72, 76, 29, 93, 21, 88]]"
5045,"[{62: 6.392590155846396}, [62, 27, 31, 47, 72, 40, 65, 78, 25, 39]]"
5046,"[{89: 3.972317968337399}, [89, 38, 6, 72, 47, 97, 23, 88, 93, 12]]"
5047,"[{28: 7.6655732575245175}, [28, 96, 94, 89, 92, 48, 90, 99, 95, 18]]"
5048,"[{65: 4.997006574188479}, [65, 32, 62, 29, 39, 34, 69, 31, 72, 56]]"
5049,"[{89: 2.0912526061977643}, [89, 91, 32, 93, 72, 83, 76, 88, 81, 87]]"
5050,"[{89: 0.803528668744697}, [89, 87, 93, 78, 83, 72, 76, 91, 80, 50]]"
5051,"[{62: 6.33155540521633}, [62, 89, 21, 61, 87, 80, 19, 91, 90, 23]]"
5052,"[{89: 2.8481763897088657}, [89, 93, 84, 90, 76, 97, 78, 94, 88, 77]]"
5053,"[{62: 7.159154194692956}, [62, 68, 31, 35, 56, 47, 6, 89, 28, 72]]"
5054,"[{89: 4.100260502134205}, [89, 72, 83, 93, 97, 76, 84, 36, 98, 90]]"
5055,"[{89: 3.9456689944214425}, [89, 50, 62, 68, 49, 96, 93, 36, 76, 91]]"
5056,"[{89: 2.216159120909618}, [89, 27, 34, 69, 26, 32, 65, 81, 88, 93]]"
5057,"[{50: 5.423283331270301}, [50, 36, 89, 22, 68, 39, 10, 25, 72, 94]]"
5058,"[{27: 9.978458252476912}, [27, 25, 53, 26, 10, 70, 67, 95, 91, 3]]"
5059,"[{50: 0.9269709981310443}, [50, 42, 6, 97, 91, 34, 83, 14, 43, 77]]"
5060,"[{29: 5.58579463343788}, [29, 2, 81, 21, 10, 72, 34, 61, 89, 87]]"
5061,"[{81: 4.064997916242756}, [81, 22, 94, 41, 100, 91, 86, 76, 87, 72]]"
5062,"[{89: 4.345160221868989}, [89, 62, 69, 27, 42, 81, 66, 61, 72, 56]]"
5063,"[{78: -1.312191685210928}, [78, 80, 76, 77, 89, 93, 72, 83, 95, 79]]"
5064,"[{62: 4.799116908503985}, [62, 95, 97, 99, 67, 71, 77, 57, 87, 35]]"
5065,"[{89: 1.0602427406183672}, [89, 72, 76, 83, 87, 36, 96, 91, 92, 88]]"
5066,"[{27: 1.7821254945588731}, [27, 81, 11, 72, 93, 87, 100, 78, 21, 88]]"
5067,"[{89: -1.6583371302164451}, [89, 72, 76, 93, 32, 87, 88, 81, 92, 91]]"
5068,"[{89: 3.6496835106599965}, [89, 10, 28, 94, 93, 48, 97, 76, 96, 72]]"
5069,"[{50: 2.1339037660790154}, [50, 89, 78, 35, 40, 75, 3, 46, 34, 92]]"
5070,"[{83: 6.61219444461401}, [83, 87, 82, 72, 50, 94, 85, 76, 78, 35]]"
5071,"[{10: 2.0905339359539368}, [10, 89, 55, 94, 86, 91, 96, 93, 60, 95]]"
5072,"[{89: 5.470097648758079}, [89, 28, 50, 72, 53, 93, 76, 66, 36, 63]]"
5073,"[{89: 4.684567288465217}, [89, 1, 10, 95, 93, 97, 87, 78, 76, 96]]"
5074,"[{54: 4.702832515938422}, [54, 66, 89, 61, 76, 65, 28, 93, 88, 6]]"
5075,"[{89: 3.470424266586707}, [89, 83, 68, 93, 78, 91, 76, 47, 81, 82]]"
5076,"[{68: 5.798331435422404}, [68, 27, 21, 31, 6, 83, 55, 63, 23, 84]]"
5077,"[{18: 3.300090164336496}, [18, 44, 89, 86, 23, 84, 91, 88, 94, 87]]"
5078,"[{89: -0.7089599506542801}, [89, 97, 94, 76, 93, 91, 96, 86, 83, 84]]"
5079,"[{89: 4.4510984060066}, [89, 78, 73, 76, 83, 72, 50, 80, 93, 77]]"
5080,"[{53: 4.980724537327886}, [53, 29, 32, 10, 88, 25, 65, 9, 57, 72]]"
5081,"[{49: 3.8506155709407777}, [49, 68, 36, 89, 21, 29, 76, 72, 73, 93]]"
5082,"[{89: 0.6706164647979571}, [89, 88, 81, 72, 15, 93, 1, 87, 91, 5]]"
5083,"[{89: 7.336435178672597}, [89, 68, 78, 47, 77, 93, 84, 82, 73, 76]]"
5084,"[{62: 7.101374538134785}, [62, 82, 54, 95, 80, 21, 26, 34, 57, 1]]"
5085,"[{89: 3.4547044433505647}, [89, 50, 47, 66, 69, 76, 93, 72, 56, 91]]"
5086,"[{89: 3.931603362491005}, [89, 68, 96, 32, 95, 91, 97, 92, 94, 93]]"
5087,"[{62: 2.427080213537429}, [62, 6, 10, 55, 76, 81, 87, 80, 59, 64]]"
5088,"[{35: 1.4868086264933549}, [35, 21, 53, 40, 89, 56, 72, 83, 3, 76]]"
5089,"[{50: 4.628083875693435}, [50, 89, 54, 72, 88, 87, 76, 93, 96, 97]]"
5090,"[{32: 3.180007228040804}, [32, 62, 72, 68, 73, 26, 8, 92, 34, 100]]"
5091,"[{96: 3.298063536135616}, [96, 94, 89, 97, 68, 86, 95, 93, 76, 88]]"
5092,"[{89: 0.3379080947218882}, [89, 76, 72, 87, 81, 93, 88, 91, 94, 97]]"
5093,"[{89: 2.2669440683081206}, [89, 27, 66, 93, 72, 76, 88, 87, 97, 91]]"
5094,"[{11: 6.975736116661727}, [11, 48, 62, 32, 39, 12, 41, 21, 26, 69]]"
5095,"[{89: -0.5016715301834818}, [89, 76, 72, 83, 93, 49, 50, 78, 77, 98]]"
5096,"[{89: 7.034887017840954}, [89, 93, 96, 95, 90, 94, 84, 76, 71, 19]]"
5097,"[{54: 5.536891479063131}, [54, 35, 31, 62, 66, 81, 14, 45, 87, 25]]"
5098,"[{89: 3.9240533196612697}, [89, 76, 93, 83, 72, 78, 50, 54, 91, 92]]"
5099,"[{89: 8.16093734512847}, [89, 49, 68, 32, 65, 26, 88, 38, 81, 29]]"
5100,"[{27: 5.1417680580349625}, [27, 66, 35, 89, 6, 72, 81, 11, 12, 14]]"
5101,"[{50: 5.787488076206759}, [50, 27, 11, 81, 100, 88, 65, 61, 32, 1]]"
5102,"[{78: 4.729812056479477}, [78, 72, 91, 6, 48, 9, 35, 50, 12, 19]]"
5103,"[{50: 4.613514834572394}, [50, 36, 89, 53, 31, 72, 100, 83, 39, 56]]"
5104,"[{20: 2.9362458780182292}, [20, 18, 63, 32, 73, 50, 13, 31, 29, 42]]"
5105,"[{62: 4.862943658596528}, [62, 89, 68, 49, 53, 72, 76, 6, 78, 93]]"
5106,"[{65: 2.31842914106915}, [65, 89, 32, 93, 76, 100, 81, 14, 87, 94]]"
5107,"[{50: 4.883315930283234}, [50, 53, 89, 72, 68, 76, 93, 88, 96, 80]]"
5108,"[{89: 3.9296719380118112}, [89, 93, 88, 72, 76, 91, 28, 97, 84, 96]]"
5109,"[{89: 2.1214226802220137}, [89, 91, 93, 94, 72, 78, 88, 87, 95, 83]]"
5110,"[{31: 3.1882263514709868}, [31, 6, 10, 50, 100, 89, 52, 72, 11, 93]]"
5111,"[{100: 4.490652459441261}, [100, 36, 49, 81, 83, 85, 5, 62, 80, 98]]"
5112,"[{28: 6.517393105190793}, [28, 89, 48, 94, 96, 90, 88, 22, 72, 56]]"
5113,"[{10: 1.190496921679447}, [10, 81, 1, 89, 88, 87, 94, 27, 91, 72]]"
5114,"[{50: 6.364644104575778}, [50, 31, 53, 56, 46, 21, 68, 89, 11, 14]]"
5115,"[{31: 6.5401862773943815}, [31, 36, 6, 65, 21, 89, 42, 72, 76, 12]]"
5116,"[{89: 6.209004485788518}, [89, 49, 54, 50, 88, 76, 78, 36, 6, 82]]"
5117,"[{29: 8.52696671242498}, [29, 54, 68, 26, 12, 45, 93, 22, 2, 19]]"
5118,"[{29: -0.31341801049753504}, [29, 72, 83, 89, 98, 35, 26, 81, 93, 56]]"
5119,"[{89: 3.093350621917872}, [89, 10, 60, 94, 91, 50, 86, 88, 95, 1]]"
5120,"[{89: 3.6651680767438735}, [89, 61, 6, 36, 28, 88, 38, 72, 76, 87]]"
5121,"[{78: 8.896672114920092}, [78, 87, 82, 88, 72, 94, 90, 100, 79, 99]]"
5122,"[{89: 6.242553501432992}, [89, 54, 66, 48, 35, 78, 50, 72, 93, 76]]"
5123,"[{31: 6.619113138868314}, [31, 50, 36, 29, 69, 11, 12, 26, 2, 8]]"
5124,"[{47: 6.9213899115965845}, [47, 62, 29, 53, 56, 50, 83, 12, 14, 65]]"
5125,"[{89: 2.8410766962439595}, [89, 68, 53, 35, 88, 72, 91, 38, 93, 10]]"
5126,"[{38: 9.072470445605235}, [38, 25, 2, 12, 39, 27, 24, 23, 11, 88]]"
5127,"[{89: 3.0750173971181725}, [89, 82, 94, 88, 93, 6, 87, 68, 78, 85]]"
5128,"[{50: 5.940087155558837}, [50, 21, 49, 72, 56, 89, 12, 100, 83, 39]]"
5129,"[{94: 1.847621649113477}, [94, 86, 89, 95, 96, 93, 92, 91, 88, 87]]"
5130,"[{94: 2.070628888626297}, [94, 89, 95, 96, 97, 90, 84, 60, 91, 82]]"
5131,"[{53: 2.6669102754901535}, [53, 72, 89, 22, 93, 87, 83, 76, 81, 38]]"
5132,"[{54: 4.327371599239846}, [54, 10, 49, 21, 68, 14, 11, 53, 39, 52]]"
5133,"[{89: 6.706679173333079}, [89, 32, 76, 78, 72, 93, 36, 69, 77, 97]]"
5134,"[{68: 5.8285266798456075}, [68, 5, 36, 48, 28, 54, 63, 98, 78, 72]]"
5135,"[{91: 1.1519226609889728}, [91, 55, 81, 10, 89, 95, 87, 93, 76, 83]]"
5136,"[{72: 0.25157128886079316}, [72, 76, 68, 35, 69, 83, 84, 78, 95, 87]]"
5137,"[{89: 4.385256841652642}, [89, 62, 56, 49, 72, 28, 88, 26, 76, 46]]"
5138,"[{32: 6.28902452170427}, [32, 50, 35, 83, 72, 29, 93, 76, 42, 88]]"
5139,"[{61: 7.92195617876294}, [61, 35, 34, 3, 51, 79, 81, 76, 88, 10]]"
5140,"[{56: 6.596534542450483}, [56, 22, 35, 54, 38, 19, 12, 48, 29, 46]]"
5141,"[{50: 6.113823820529763}, [50, 36, 89, 28, 48, 61, 93, 11, 25, 72]]"
5142,"[{39: 4.959220163455033}, [39, 42, 73, 70, 80, 79, 72, 47, 89, 53]]"
5143,"[{68: 8.534496762007361}, [68, 12, 25, 61, 29, 53, 72, 78, 83, 100]]"
5144,"[{27: 4.9908215039715484}, [27, 11, 100, 32, 50, 29, 89, 78, 35, 83]]"
5145,"[{61: 4.427202490329554}, [61, 31, 54, 35, 93, 6, 42, 39, 28, 10]]"
5146,"[{32: 1.1431718236604114}, [32, 83, 76, 3, 87, 22, 100, 15, 30, 9]]"
5147,"[{54: 5.957171138355502}, [54, 65, 14, 27, 56, 68, 72, 52, 36, 76]]"
5148,"[{89: 1.4625470067586914}, [89, 93, 50, 91, 95, 76, 81, 72, 10, 94]]"
5149,"[{69: 3.2560246829330017}, [69, 10, 65, 27, 21, 55, 81, 89, 93, 83]]"
5150,"[{89: 5.404824934719198}, [89, 54, 32, 83, 61, 72, 48, 93, 91, 76]]"
5151,"[{89: 3.2677298558918246}, [89, 94, 96, 68, 90, 95, 78, 86, 92, 70]]"
5152,"[{62: 8.246335856262505}, [62, 54, 25, 49, 47, 42, 12, 55, 41, 89]]"
5153,"[{38: 9.618128094969423}, [38, 6, 54, 11, 10, 39, 47, 93, 48, 83]]"
5154,"[{89: 3.4928392950619465}, [89, 62, 76, 68, 96, 72, 6, 28, 49, 78]]"
5155,"[{50: 5.9223375667135905}, [50, 28, 19, 49, 96, 78, 91, 88, 90, 94]]"
5156,"[{72: 4.6450835684485465}, [72, 83, 87, 66, 28, 91, 70, 97, 54, 42]]"
5157,"[{22: 4.733383298222024}, [22, 35, 36, 89, 48, 65, 55, 8, 39, 97]]"
5158,"[{95: 1.9279310967356826}, [95, 93, 50, 84, 98, 72, 2, 92, 78, 53]]"
5159,"[{89: 0.7711304880669665}, [89, 68, 97, 93, 91, 26, 96, 95, 18, 88]]"
5160,"[{89: 3.657742419607875}, [89, 76, 98, 77, 5, 84, 82, 96, 92, 99]]"
5161,"[{100: 3.4254115449155584}, [100, 81, 51, 3, 85, 41, 60, 89, 83, 64]]"
5162,"[{91: 1.6789808905645311}, [91, 50, 88, 66, 8, 54, 87, 72, 84, 5]]"
5163,"[{62: 1.4597128493186289}, [62, 11, 38, 27, 5, 9, 78, 72, 88, 8]]"
5164,"[{29: 4.092911920681561}, [29, 53, 89, 81, 72, 93, 76, 91, 87, 100]]"
5165,"[{36: 1.4438413983142642}, [36, 89, 81, 56, 72, 34, 88, 91, 87, 93]]"
5166,"[{89: 2.699281663956736}, [89, 94, 55, 88, 91, 76, 72, 96, 68, 87]]"
5167,"[{31: 5.549109144989368}, [31, 11, 100, 32, 89, 73, 93, 64, 72, 78]]"
5168,"[{35: 6.175571993197655}, [35, 29, 89, 53, 21, 45, 97, 93, 72, 82]]"
5169,"[{72: 0.9197780251605928}, [72, 11, 76, 32, 50, 3, 80, 48, 81, 6]]"
5170,"[{27: 2.8367411150612036}, [27, 62, 76, 93, 40, 55, 88, 3, 38, 47]]"
5171,"[{96: 3.9357095542766536}, [96, 36, 87, 88, 69, 28, 47, 77, 82, 48]]"
5172,"[{38: 5.975472457729287}, [38, 11, 46, 55, 27, 26, 100, 68, 62, 42]]"
5173,"[{31: 4.998834070797933}, [31, 29, 35, 12, 70, 1, 3, 82, 33, 95]]"
5174,"[{50: 1.5036916133420064}, [50, 89, 32, 83, 76, 93, 91, 21, 62, 80]]"
5175,"[{28: 4.358484817470869}, [28, 63, 91, 23, 71, 64, 92, 55, 15, 20]]"
5176,"[{29: 3.93350649382705}, [29, 69, 72, 83, 76, 65, 93, 21, 61, 97]]"
5177,"[{89: 4.10129647293723}, [89, 72, 21, 93, 56, 81, 68, 83, 46, 76]]"
5178,"[{5: 1.0673897909815673}, [5, 89, 93, 76, 72, 81, 32, 83, 87, 91]]"
5179,"[{89: 1.862025704004903}, [89, 60, 50, 1, 97, 10, 88, 91, 81, 94]]"
5180,"[{86: 7.997480115169609}, [86, 82, 68, 35, 54, 76, 95, 48, 72, 18]]"
5181,"[{28: 2.4258936931230513}, [28, 48, 72, 77, 21, 100, 99, 98, 20, 85]]"
5182,"[{50: 4.031705849477981}, [50, 10, 81, 89, 88, 11, 61, 46, 100, 87]]"
5183,"[{89: 3.0880244585490377}, [89, 93, 72, 49, 76, 87, 88, 68, 91, 96]]"
5184,"[{38: 2.938730758457051}, [38, 94, 1, 34, 65, 18, 69, 47, 35, 93]]"
5185,"[{89: 4.823965668402025}, [89, 50, 93, 28, 76, 72, 69, 83, 97, 66]]"
5186,"[{61: 8.883027571305066}, [61, 12, 66, 29, 89, 39, 65, 72, 10, 88]]"
5187,"[{31: 4.781145613442585}, [31, 61, 32, 53, 62, 29, 22, 6, 12, 34]]"
5188,"[{100: 2.812750542775811}, [100, 17, 83, 72, 39, 31, 81, 80, 78, 73]]"
5189,"[{22: 5.206240506471392}, [22, 48, 70, 14, 23, 45, 65, 89, 100, 72]]"
5190,"[{50: 5.7918924350237955}, [50, 2, 89, 81, 72, 100, 1, 22, 11, 76]]"
5191,"[{89: 2.3212547161134474}, [89, 93, 84, 76, 32, 90, 97, 72, 91, 78]]"
5192,"[{62: 3.7127540597045776}, [62, 89, 69, 54, 93, 91, 97, 96, 72, 76]]"
5193,"[{18: 5.414380143599056}, [18, 94, 10, 9, 44, 15, 23, 68, 36, 48]]"
5194,"[{89: 4.290545732582397}, [89, 47, 88, 93, 28, 76, 72, 96, 50, 78]]"
5195,"[{89: 2.3431680720239183}, [89, 93, 76, 72, 68, 83, 21, 66, 73, 78]]"
5196,"[{89: 3.621171691706996}, [89, 95, 93, 76, 72, 96, 94, 35, 88, 48]]"
5197,"[{89: 5.940359102210955}, [89, 63, 68, 94, 95, 60, 86, 62, 93, 92]]"
5198,"[{35: 2.217647547866256}, [35, 81, 26, 55, 5, 56, 39, 48, 62, 80]]"
5199,"[{89: 4.701608883593412}, [89, 50, 32, 93, 95, 91, 96, 54, 76, 72]]"
5200,"[{89: 2.808131984594161}, [89, 36, 68, 53, 55, 54, 90, 70, 84, 99]]"
5201,"[{62: 7.373143612184363}, [62, 68, 27, 89, 66, 28, 83, 69, 47, 72]]"
5202,"[{29: 5.111761313975242}, [29, 21, 56, 36, 14, 39, 8, 66, 34, 5]]"
5203,"[{28: 7.562265828848632}, [28, 89, 98, 48, 93, 81, 64, 23, 87, 30]]"
5204,"[{25: 5.510989829946256}, [25, 27, 26, 69, 100, 83, 62, 34, 72, 2]]"
5205,"[{81: 3.2871895060689424}, [81, 3, 100, 55, 10, 72, 89, 40, 12, 60]]"
5206,"[{27: -1.14030501754689}, [27, 31, 89, 3, 10, 87, 81, 11, 72, 91]]"
5207,"[{36: 6.219778471643469}, [36, 62, 31, 29, 49, 72, 80, 5, 48, 89]]"
5208,"[{1: 5.700713806265493}, [1, 36, 27, 69, 89, 62, 45, 88, 60, 81]]"
5209,"[{53: 4.616404388247012}, [53, 62, 89, 27, 61, 83, 39, 12, 93, 6]]"
5210,"[{89: 3.9461059254311346}, [89, 27, 26, 42, 14, 22, 93, 83, 10, 81]]"
5211,"[{62: 4.782294929740395}, [62, 68, 65, 55, 94, 11, 97, 12, 6, 47]]"
5212,"[{89: 1.173356047567275}, [89, 91, 93, 94, 88, 96, 76, 87, 97, 86]]"
5213,"[{32: 5.883456225871047}, [32, 53, 72, 31, 47, 28, 8, 94, 85, 98]]"
5214,"[{39: 3.7915930634860686}, [39, 50, 69, 40, 98, 32, 53, 62, 14, 76]]"
5215,"[{62: 4.443830628373881}, [62, 89, 32, 69, 72, 76, 93, 91, 88, 95]]"
5216,"[{89: 1.1450753864172483}, [89, 94, 86, 81, 88, 11, 97, 15, 55, 91]]"
5217,"[{89: 4.050132654984711}, [89, 65, 32, 54, 76, 29, 66, 68, 72, 31]]"
5218,"[{31: 5.894934937514674}, [31, 27, 53, 54, 42, 14, 72, 12, 100, 89]]"
5219,"[{6: 8.508481996599006}, [6, 78, 70, 80, 39, 73, 72, 93, 89, 100]]"
5220,"[{11: 6.575268928490459}, [11, 7, 38, 65, 22, 54, 91, 75, 42, 39]]"
5221,"[{88: 1.551354449776796}, [88, 96, 50, 54, 94, 83, 35, 48, 12, 90]]"
5222,"[{49: 2.912231793502876}, [49, 89, 76, 94, 88, 45, 56, 6, 31, 2]]"
5223,"[{27: 4.886113161787232}, [27, 34, 21, 26, 36, 25, 6, 14, 81, 100]]"
5224,"[{10: 1.540961771154881}, [10, 22, 31, 34, 1, 55, 38, 49, 56, 25]]"
5225,"[{48: 8.192229207327035}, [48, 22, 68, 45, 66, 25, 8, 18, 29, 53]]"
5226,"[{91: 6.459851383912574}, [91, 35, 29, 76, 88, 53, 98, 71, 63, 5]]"
5227,"[{97: 7.387712886150311}, [97, 72, 62, 35, 73, 78, 82, 77, 27, 28]]"
5228,"[{89: 5.488211096495748}, [89, 93, 56, 40, 66, 62, 68, 28, 76, 71]]"
5229,"[{50: 3.355130414751926}, [50, 83, 35, 72, 69, 81, 87, 89, 100, 34]]"
5230,"[{78: 6.407544014214111}, [78, 73, 89, 70, 36, 96, 25, 68, 54, 29]]"
5231,"[{50: 5.7489111885760735}, [50, 32, 36, 31, 89, 27, 21, 72, 14, 47]]"
5232,"[{89: 1.6187789413456048}, [89, 94, 49, 97, 86, 95, 96, 47, 84, 91]]"
5233,"[{89: 1.3037630697860805}, [89, 91, 1, 94, 93, 97, 76, 87, 88, 29]]"
5234,"[{98: 5.695779292043419}, [98, 73, 93, 65, 90, 17, 54, 86, 49, 32]]"
5235,"[{27: 5.6593865362762}, [27, 21, 12, 39, 56, 2, 11, 22, 38, 6]]"
5236,"[{7: 3.519127170547802}, [7, 49, 48, 90, 61, 78, 71, 60, 94, 82]]"
5237,"[{35: 4.354795404063546}, [35, 69, 89, 81, 72, 100, 83, 48, 97, 76]]"
5238,"[{62: 6.227905356647043}, [62, 32, 89, 35, 19, 90, 78, 93, 82, 91]]"
5239,"[{89: 4.213527671543688}, [89, 93, 94, 81, 91, 72, 78, 96, 95, 88]]"
5240,"[{66: 9.229463725731819}, [66, 93, 95, 69, 28, 83, 18, 61, 98, 71]]"
5241,"[{31: 2.6857892556014087}, [31, 42, 72, 54, 81, 89, 76, 87, 83, 93]]"
5242,"[{38: 5.94540094474727}, [38, 68, 86, 22, 62, 95, 93, 90, 99, 1]]"
5243,"[{63: 7.59652226508213}, [63, 89, 38, 97, 90, 62, 82, 72, 93, 71]]"
5244,"[{42: 8.87161171159152}, [42, 11, 39, 14, 29, 62, 25, 38, 94, 27]]"
5245,"[{89: 1.951978274192414}, [89, 42, 72, 83, 54, 68, 29, 93, 35, 14]]"
5246,"[{45: 5.142970675113715}, [45, 72, 35, 92, 28, 11, 83, 12, 64, 19]]"
5247,"[{25: 5.21451850985447}, [25, 12, 35, 69, 22, 29, 14, 47, 89, 72]]"
5248,"[{89: 2.7782288626669907}, [89, 50, 27, 93, 72, 53, 88, 91, 7, 87]]"
5249,"[{31: 3.5283453105979223}, [31, 21, 25, 81, 40, 42, 50, 73, 49, 66]]"
5250,"[{89: 3.372391154045238}, [89, 49, 47, 93, 76, 88, 72, 91, 27, 97]]"
5251,"[{68: 3.4124862850466853}, [68, 47, 8, 9, 67, 57, 91, 64, 69, 20]]"
5252,"[{62: 5.077929598511934}, [62, 27, 32, 31, 87, 29, 81, 14, 88, 48]]"
5253,"[{18: 2.6498410663757905}, [18, 89, 86, 94, 68, 91, 96, 36, 95, 88]]"
5254,"[{35: 4.896222377135435}, [35, 68, 54, 48, 61, 66, 77, 95, 91, 17]]"
5255,"[{50: 2.5508332869225976}, [50, 67, 53, 8, 96, 22, 48, 36, 69, 40]]"
5256,"[{32: 6.02756069996179}, [32, 35, 46, 53, 89, 65, 31, 26, 66, 47]]"
5257,"[{15: 2.4783220219758504}, [15, 5, 50, 44, 29, 75, 33, 57, 72, 35]]"
5258,"[{89: 1.971334386137161}, [89, 93, 35, 76, 36, 91, 96, 72, 87, 97]]"
5259,"[{68: 5.219112559850707}, [68, 29, 28, 88, 56, 76, 92, 72, 87, 14]]"
5260,"[{89: 3.524392088369867}, [89, 94, 96, 63, 86, 95, 92, 93, 97, 9]]"
5261,"[{50: 0.13356886749432118}, [50, 89, 72, 76, 32, 93, 88, 83, 31, 81]]"
5262,"[{28: 6.115567847731239}, [28, 38, 32, 48, 60, 86, 14, 45, 9, 6]]"
5263,"[{50: 5.401646768008334}, [50, 66, 31, 68, 48, 7, 72, 26, 47, 76]]"
